name,Lat,Lon,
TU Tragberg. Nordportal. Rettungsplatz - Teilfläche 1,50.6608333333333,10.9847222222222,
TU Tragberg. Nordportal. Rettungsplatz - Teilfläche 2,50.6622222222222,10.9852777777778,
TU Sandberg. Südportal. Rettungsplatz,50.7481805555556,11.0092027777778,
TU Sandberg. NA 1. Rettungsplatz,50.7513888888889,11.0069444444444,
TU Sandberg. Nordportal. Rettungsplatz,50.7650666666667,11.0033388888889,
TU Behringen. Südportal. Stellfläche,50.7698027777778,10.9999416666667,
TU Behringen. Nordportal. Stellfläche,50.7791666666667,11.0031944444444,
TU Augustaburg. Südportal. Rettungsplatz - Teilfläche oben,50.9219666666667,10.9631527777778,
TU Augustaburg. Südportal. Rettungsplatz - Teilfläche unten,50.9219666666667,10.9631527777778,
TU Augustaburg. NA 1. Rettungsplatz,50.93125,10.9652777777778,
TU Augustaburg. Nordportal. Rettungsplatz,50.9390277777778,10.98585,
