Anschrift,Ortskürzel,Streckennummer,Servicebezirk,Standortart,Ort_Lat,Ort_Lon,
Agathenburg BTS 13674,AGAG,1720  (Lehrte. W 154 - Cuxhaven),N-HMB-S1 (2S010). Hamburg. Servicebezirk,Mehrraum-Gebäudestandort,53.5642402466968,9.53071673344254,
Angersdorf BTS 17178,AGD_,6343  (Halle (Saale) Hbf. Gl 5W - Hann Münden. W 376),Halle 1T080. Halle 1T080. Serviceteam,Mehrraum-Gebäudestandort,51.4594379087664,11.9061017594774,
Aglasterhausen BTS 25019,AGLH--G,4110  (Heidelberg Karlstor - ehem. alter Bf Neckarelz),Würzburg 4T120. Würzburg 4T120. Serviceteam,Mehrraum-Gebäudestandort,49.3477748296755,8.98749488056673,
Angermünde BTS 23205,AGMG,6081  (Berlin-Gesundbrunnen. W 116 --Eberswalde-- - Stralsund),O-BLN-S2 (1S020). Berlin2. Servicebezirk,Mehrraum-Gebäudestandort,53.0174907371644,13.9958221628995,
Altengronau Nord BTS 10403,AGN_,3825  (Flieden. W 58 - Gemünden (Main). W 111),Gießen 3T020. Gießen 3T020. Serviceteam,Mehrraum-Gebäudestandort,50.2544672846026,9.6187496632581,
Altengronau Nord BTS 19180,AGNS,1733  (Hannover Hbf --Kassel-Wilhelmshöhe-- - Würzburg Hbf),Gießen 3T020. Gießen 3T020. Serviceteam,Mehrraum-Gebäudestandort,50.2572173938991,9.64888273192709,
Heidenheim Aufhausen Itzelberg Tu. ZBF/BTS 20745,AHAG,4760  (Aalen. W 81 - Ulm Hbf. W 123),Nürnberg 4T110. Nürnberg 4T110. Serviceteam,Mehrraum-Gebäudestandort,48.7241644227704,10.1483260939096,
Ahldorf Kläranlage BTS 21049,AHLD--G,4600  (Plochingen --(Horb)-- - Immendingen. W 17),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,48.4538875833757,8.74666158779615,
Ahlen Vorhelm BSH ZBF Vorhelm / BTS 12753,Ahlen Vorhelm001,1700  (Hannover Hbf - Hamm (Westf)),W-ESN-S1 (5S010). Hagen-Nord. Servicebezirk,Mehrraum-Gebäudestandort,51.7618824841512,7.89680311896182,
Aufhausen BTS 18024,AHNG,5601  (Markt Schwaben. W 6 --Erding-- - München Flughafen Terminal),Rosenheim 4T080. Rosenheim 4T080. Serviceteam,Mehrraum-Gebäudestandort,48.2741647981895,11.8938781485173,
Pützfeld BTS 23890,AHRB--G,3000  (Remagen. W 5 - Adenau),Koblenz 3T120. Koblenz 3T120. Serviceteam,Mehrraum-Gebäudestandort,50.4930632341861,6.98055387351994,
Ahrweiler BTS 23901,AHRW--G,3000  (Remagen. W 5 - Adenau),Koblenz 3T120. Koblenz 3T120. Serviceteam,Mehrraum-Gebäudestandort,,,
Albert Hauenstein BSH ZBF BTS 20297,AHSG,4000  (Mannheim - Konstanz Landesgrenze),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,47.5825005802637,8.10610609756618,
Aßlar Bf Container BTS 10733,ALA---G,2651  (Köln Messe/Deutz - Gießen. W 303),Gießen 3T020. Gießen 3T020. Serviceteam,Mehrraum-Gebäudestandort,50.5877725021978,8.46249659558797,
Altersbach BTS 24639,ALBA--G,6698  (Zella-Mehlis. W 4 - Wernshausen. W 2),O-DRE-S3 (0S030). Erfurt. Servicebezirk,Mehrraum-Gebäudestandort,50.6999949058156,10.5433260546707,
Albshausen BTS 24775,ALBH--G,3710  (Wetzlar. W 75 - Koblenz Hbf),Gießen 3T020. Gießen 3T020. Serviceteam,Mehrraum-Gebäudestandort,50.5474132022757,8.44233504882864,
Altenbeken Rehberg Tu. BTS 16074,ALBR,1760  (Hannover Hbf - Soest),Bielefeld 3T090. Bielefeld 3T090. Serviceteam,Mehrraum-Gebäudestandort,51.7699096718566,8.95607926106608,
Albatsried BTS 23637,ALBR--G,5441  (Marktoberdorf - Füssen. Gl 3),S-MUE-S2 (8S020). Nürnberg. Servicebezirk,Mehrraum-Gebäudestandort,47.6769438464494,10.5980471794895,
Albersweiler BTS 20512,ALBW--G,3450  (Rheinsheim. Streckenwechsel 4132/3450 - Rohrbach (Saar). W 3),Saarbrücken 3T130. Saarbrücken 3T130. Serviceteam,Mehrraum-Gebäudestandort,49.2183304815923,8.02221869230987,
Aldingen Bf BTS 20739,ALDG,4600  (Plochingen --(Horb)-- - Immendingen. W 17),Ulm 4T050. Ulm 4T050. Serviceteam,Mehrraum-Gebäudestandort,48.0958322594231,8.71249409952219,
Altendorf BTS 24148,ALDO--G,6216  (Bautzen. W 44 - Bad Schandau Gl 9),O-DRE-S1 (0S010). Dresden. Servicebezirk,Mehrraum-Gebäudestandort,50.9455492179545,14.1791536067249,
Albig Bf BTS 20352,ALG_,3523  (Morschheim - Mainz Hbf),W-ESB-S2 (6S020). Mainz. Servicebezirk,Mehrraum-Gebäudestandort,49.7708300879087,8.11666385086839,
Altenglan BTS 11735,ALGL--G,3281  (Homburg (Saar) Hbf. W 525 - Staudernheim. W 4),Koblenz 3T120. Koblenz 3T120. Serviceteam,Mehrraum-Gebäudestandort,49.5431809992686,7.46229632592309,
Algermissen BTS 25421,ALGM-G2,1770  (Lehrte. W 951 - Nordstemmen. W 58),N-HAN-S2 (3S020). Braunschweig. Servicebezirk,Mehrraum-Gebäudestandort,52.2525471805798,9.96681319771309,
