Unterwerk,Bemerkung,lon,lat,
Uw Güsen [Elbe-Parey],,52.3352777777778,11.9783333333333,
Uw Hagen (Hagen-Hengstey),zwei von acht Stromkreisen als Erdkabel (400 m) zugeführt. um andere Freileitungen besser kreuzen zu können,51.4088888888889,7.46194444444444,
Uw Hahn[35],in Planung, neues Unterwerk im Zuge der Elektrifizierung der Ausbaustrecke Oldenburg – Wilhelmshaven[35],53.2951111111111,8.16436111111111,
Sp Halbe,kein eigenständiges Unterwerk. Schaltposten Halbe wird gespeist durch 15-kV-Freileitung vom Uw Neuhof,52.1161111111111,13.6927777777778,
Uw Haltingen,mit Kuppelumspanner 132 kV (SBB) / 110 kV (DB), galvanische Trennung zum Netz der SBB,47.6052777777778,7.61111111111111,
Uw Hamburg-Harburg,mit benachbartem Umformerwerk,53.4491666666667,10.0005555555556,
Uw Hameln [Bad Münder OT Hasperde],,52.1405555555556,9.44527777777778,
Uw Haren (Ems),,52.7838888888889,7.30111111111111,
Uw Heeren,,52.5744444444444,11.8680555555556,
Uw Herbolzheim (Breisgau),,48.2327777777778,7.76916666666667,
Uw Herchen [Windeck],,50.7697222222222,7.52194444444444,
Uw Holzkirchen,,47.8833333333333,11.6988888888889,
Uw Ihringshausen [Fuldatal OT Ihringshausen],,51.3519444444444,9.53722222222222,
Uw Wolfsberg [33],früherer Arbeitsname war Ilmenau, neues Unterwerk im Zuge der Neubaustrecke Erfurt – Ebensfeld[33], Inbetriebnahme 2016[31],50.6880555555556,10.9983333333333,
Uw Ingolstadt,,48.78,11.4261111111111,
Uw Jübek,bis 2011 mit benachbartem Umrichterwerk,54.5569444444444,9.40972222222222,
Uw Kaiserslautern,,49.4377777777778,7.70527777777778,
Uw Karlsruhe,mit benachbartem Umformerwerk,48.9802777777778,8.37611111111111,
Uw Karthaus [Konz],,49.7077777777778,6.59111111111111,
Uw Kirchheim,,50.8777777777778,9.58694444444444,
Uw Kirchmöser,Ausgangspunkt der einzigen Bahnstromleitung mit drei Stromkreisen zum Kw Kirchmöser,52.3819444444444,12.41,
Uw Klebitz,,51.9413888888889,12.8344444444444,
Uw Koblenz,alle vier Stromkreise als Erdkabel (500 m) zugeführt. um andere Freileitungen besser kreuzen zu können,50.3866666666667,7.56444444444444,
Uw Köln,mit benachbartem Umrichterwerk,50.9038888888889,7.04861111111111,
Uw Köln-Mülheim,,50.9725,7.01861111111111,
Uw Körle,,51.1808333333333,9.53,
Uw Kraichtal,,49.09,8.73194444444444,
Uw Kreiensen,Bahnstromrückleiter zur Schnellfahrstrecke Hannover–Würzburg als Freileitung mit Vierer-Bündeln (die Rückleiter liegen auf den gleichen Masten wie die 110-kV-Bahnstromleitung Richtung Osten),51.8483333333333,9.96972222222222,
Uw Landshut,größte 110-kV-Schaltanlage mit 12 Stromkreisen und 2 Transformatoren,48.5466666666667,12.1086111111111,
Uw Langenfeld,,51.1033333333333,6.9375,
Uw Leer,,53.2133333333333,7.46472222222222,
Uw Lehrte,mit benachbartem Umrichterwerk,52.3816666666667,9.95555555555556,
Uw Leipzig-Wahren,,51.3819444444444,12.3130555555556,
Uw Leonberg,,48.7930555555556,8.97444444444444,
Uw Limburg (Lahn),,50.3791666666667,8.09972222222222,
Uw Löhne (Westf),,52.195,8.70972222222222,
Uw Lüneburg,,53.2669444444444,10.4116666666667,
Uw Magdeburg,,52.1533333333333,11.6597222222222,
Uw Mainbernheim,,49.7,10.2108333333333,
Uw Mannheim [OT Friedrichsfeld],Einspeisung des Bahnstroms aus dem Grosskraftwerk Mannheim,49.4408333333333,8.56194444444444,
Uw Markt Bibart,,49.6466666666667,10.4233333333333,
